race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
White/Caucasian,Woman,Mostly liberal,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Prefer not to answer,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
"Asian,White/Caucasian",Woman,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Man,Other,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Black or African American,Man,Other,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
Asian,Man,Mostly liberal,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Man,Consistently liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
"American Indian or Alaska Native,Black or African American,White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree
White/Caucasian,Woman,Consistently liberal,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
"Black or African American,White/Caucasian",Man,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
Prefer not to answer,Woman,Mixed,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree
"Asian,White/Caucasian",Transgender man,Mostly liberal,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
"Asian,White/Caucasian",Man,Mostly conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
"Native Hawaiian or Other Pacific Islander,White/Caucasian",Man,Mostly conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree
American Indian or Alaska Native,Man,Other,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree
Asian,Woman,Mostly conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
Hispanic or Latino,Woman,Mixed,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Man,Consistently liberal,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree
Asian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree
,,,,,,,
Hispanic or Latino,Woman,Consistently liberal,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
